Основное средство;Гр. уч;Инвентарный номер;Серийный номерЦМО;Дата ввода в эксплуатацию;Дата принятия к учету;Количество
"ПК 01""Начальный уровень""";Нет;01-1041380557;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401890;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401891;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401892;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401893;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401894;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401895;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401896;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401897;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401898;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401899;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401900;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник беспер.питания;Нет;1341380991;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);01.06.2012;01.06.2012;1
Источник беспер.питания;Нет;1344380270;00000000000;9. Чурляев М.Н. (з.х. с 10.02.2020)(г. Москва, улица Советской Армии, дом 9);29.06.2012;29.06.2012;1
Компьютер персон.Kraftwa;Нет;1049380077;00000000000;14. Колокольникова Е.А. (з.х. с 01.11..2018)(г. Москва, Шереметьевская улица, дом 14);27.12.2008;27.12.2008;1
Компьютер персон.Kraftwa;Нет;1049380078;00000000000;14. Колокольникова Е.А. (з.х. с 01.11..2018)(г. Москва, Шереметьевская улица, дом 14);27.12.2008;27.12.2008;1
Источник бесперебойного;Нет;1041045532;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);01.01.2008;01.01.2008;1
Источник бесперебойного;Нет;1341340354;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);01.06.2012;01.06.2012;1
Источник бесперебойного;Да;1041350041;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);01.01.2004;01.01.2004;1
Источник бесперебойного;Да;1041350042;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);01.01.2004;01.01.2004;1
Источник бесперебойного;Да;1041350043;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);01.01.2004;01.01.2004;1
Источник бесперебойного;Да;1347340001;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);14.12.2011;14.12.2011;1
Источник бесперебойного;Да;1347340002;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);14.12.2011;14.12.2011;1
"ПК 01""Начальный уровень""";Нет;01-1041380553П3897;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
"ПК 01""Начальный уровень""";Нет;01-1041380554;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
"ПК 01""Начальный уровень""";Нет;01-1041380555;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
"ПК 01""Начальный уровень""";Нет;01-1041380558;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
Источник бесп.пит.Tripp Lite;Нет;02-1013400080;00000000000;9. Чурляев М.Н. (з.х. с 10.02.2020)(г. Москва, улица Советской Армии, дом 9);01.06.2012;01.06.2012;1
Коммутатор восьмипортовый ZyXEL ES-108S;Да;1341381053;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Коммутатор восьмипортовый ZyXEL ES-108S;Да;1341381054;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Моноблочный специализир.персональный компьютер CheckWay;Нет;1341381055;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Моноблочный специализир.персональный компьютер CheckWay;Нет;1341381056;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Компьютер Kraftway;Нет;1341381051;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Источник питания СКАТ-1200У;Нет;1341381060;00000000000;81. Руденко Н.С..(з.х. с 02.05.2023)(г. Москва, Октябрьская улица, дом 81);07.07.2014;07.07.2014;1
Коммутатор восьмипортовый ZyXEL ES-108S;Да;1348380129;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);07.07.2014;07.07.2014;1
Коммутатор восьмипортовый ZyXEL ES-108S;Да;1348380130;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);07.07.2014;07.07.2014;1
